,source_id,clean_tmass_psc_xsc_oid,Unnamed: 0,angDist,col0,Star,n_Star,RAJ2000_1,DEJ2000_1,H20,e_H20,EW_CO_,e_EW_CO_,SpType1,SpType2,Simbad,RA_deg,DEC_deg,RAJ2000_2,DEJ2000_2,errHalfMaj,errHalfMin,errPosAng,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,Qfl,Rfl,X,MeasureJD
18535732+0141271,4267108974184673536,298427982,70,0.038516,70,71,,18 53 57.32,+01 41 27.11,5.9,2.8,42.2,0.6,K5,M6.5,Simbad,283.4888333333333,1.690863888888889,283.488844,1.690863,0.06,0.06,90,7.36,5.546,4.684,0.018,0.023,0.017,AAA,111,0,2451400.5815
18543443+0153045,4267121098881574400,299015855,71,0.032385,71,72,,18 54 34.44,+01 53 04.60,4.7,1.6,50.0,0.8,M1,---,Simbad,283.6435,1.884611111111111,283.643491,1.884611,0.06,0.06,90,10.28,7.101,5.504,0.021,0.04,0.024,AAA,211,0,2451400.5845
18554214+0340045,4281004464700380672,304457794,72,0.056297,72,73,,18 55 42.14,+03 40 04.56,10.5,1.6,45.7,0.4,M0,M7,Simbad,283.9255833333333,3.667933333333333,283.925599,3.667933,0.06,0.06,90,7.901,5.895,4.931,0.024,0.029,0.017,AAA,111,0,2451400.5955
18565849+0134520,4267036986235200256,298095207,73,0.04692,73,74,,18 56 58.50,+01 34 52.05,1.1,2.2,50.4,0.5,M1,---,Simbad,284.24375,1.581125,284.243737,1.581124,0.06,0.06,90,7.741,5.837,4.951,0.021,0.042,0.023,AAA,111,0,2451400.6172
18580434+0215413,4268642277510795520,300164046,74,0.045564,74,75,,18 58 04.34,+02 15 41.31,3.5,4.8,48.5,0.5,M0.5,M7,Simbad,284.51808333333327,2.261475,284.518096,2.261475,0.06,0.06,90,7.214,5.353,4.519,0.02,0.024,0.02,AAA,111,0,2451400.6264
18585383+0500368,4281629537057517696,308476068,75,0.012193,75,76,,18 58 53.84,+05 00 36.87,7.1,2.3,36.0,1.7,K3.5,M3.5,Simbad,284.7243333333333,5.0102416666666665,284.72433,5.010241,0.06,0.06,90,7.198,5.44,4.664,0.02,0.034,0.02,AAA,111,0,2451400.6341
19001228+0312259,4268813487793574016,303055356,76,0.006506,76,77,,19 00 12.29,+03 12 25.93,1.2,1.4,49.9,0.8,M1,M7,Simbad,285.0512083333333,3.207202777777778,285.051207,3.207204,0.06,0.06,90,7.164,5.448,4.683,0.023,0.021,0.016,AAA,111,0,2451400.6576
19001812+0325413,4280852422855624576,303728511,77,0.010545,77,78,,19 00 18.13,+03 25 41.33,5.9,2.8,49.2,0.5,M0.5,M7,Simbad,285.0755416666666,3.428147222222222,285.075539,3.428146,0.06,0.06,0,7.529,5.653,4.734,0.024,0.036,0.023,AAA,111,0,2451400.6577
19021061+0624270,4306596212013394560,312669776,78,0.07159,78,79,,19 02 10.62,+06 24 27.06,5.8,2.5,44.8,0.9,K5.5,M7,Simbad,285.54425,6.407516666666667,285.54423,6.407516,0.06,0.06,90,7.004,5.357,4.626,0.019,0.024,0.016,AAA,111,0,2451393.6525
19051932+0600126,4305782371550155264,311433246,79,0.074061,79,80,,19 05 19.33,+06 00 12.65,6.5,1.6,44.0,0.3,K5.5,M7,Simbad,286.3305416666666,6.003513888888889,286.330521,6.003513,0.07,0.06,90,7.083,5.46,4.695,0.023,0.026,0.016,AAA,111,0,2451401.5465
